protocol,dfa_state_count,dfa_diameter,dfa_build_time_s,isConditional,isLengthBased,isRecursive,Tier,proto_density
EAPOL,112,45,0.025972299999921233,False,True,False,1,0.7562665729332395
SSDP,90,35,0.010149206999813032,True,False,False,1,0.28713753725357827
T3,236,113,0.3784510320001573,True,True,False,2,0.76974518934368
DNP3,160,89,0.05475730600028328,False,True,False,1,0.9312476218693969
UDP,65,65,0.0060707559996444616,False,False,False,0,1.0
HTTP,90,35,0.01054338900030416,True,False,False,1,0.28713753725357827
SSH,254,174,9.422462272000303,True,True,False,2,0.7787385294095985
SSRP,90,83,0.013485912000760436,True,False,False,1,0.8248850868232891
STUN,218,153,0.3141707849999875,False,False,False,0,0.852679804695721
LDAP,226,209,3.5772175769998285,True,False,False,1,0.8052610450998895
RDP,54,49,0.2744291399994836,True,True,False,2,0.8958333333333334
TRANSLOGIC,92,89,0.05585814599999139,True,False,False,1,0.9318181818181818
IMAP,105,93,0.009172211999612045,False,False,False,0,0.8461538461538461
TFTP,70,33,0.02314760299941554,True,False,False,1,0.7084662666534188
IGSS,351,201,0.1473840160006148,True,False,False,1,0.9616090230299216
ModBusTCP,128,57,0.03230665899991436,False,True,False,1,0.8070602237268903
NBDGM,456,121,0.06363620699994499,False,True,False,1,0.8855268432419967
MSNRPC,342,169,3.965213285000573,True,True,False,2,0.8006321074405063
ModBus,46,41,0.013213433000601071,False,False,False,0,0.858048202372184
SMTP,49,35,0.0035288569997646846,False,False,False,0,0.6666666666666666
NBNS,119,101,0.28438240100058465,False,True,True,2,0.5815019486918658
TELNET,33,27,0.0031333209999502287,False,False,False,0,0.5
USB,513,513,0.047295692000261624,False,False,False,0,0.931640625
RPC,348,167,0.12430148600014945,True,False,False,1,0.8858322377745592
CVS,44,11,0.011703683000632736,True,False,False,1,0.3039307610851276
SMB2,376,373,0.21210011499988468,True,False,False,1,0.7907793682834471
NTPv4,193,193,0.015056259000630234,False,False,False,0,1.0
PMU,633,171,7.2225819509994835,True,True,True,3,0.8607227508219374
DNS,123,66,0.34778717900007905,False,False,True,1,0.5248103112216426
TLS,138,129,2.800138990999585,True,True,False,2,0.8049643535284055
POP3,319,68,0.09317471400026989,True,False,False,1,0.7504404305436235
KADM5,50,24,0.049251462999563955,True,True,False,2,0.3718067745365425
NETBIOS,176,49,0.799124753999422,True,True,False,2,0.6840684722949502
TCP,158,158,0.021373557000515575,False,False,False,0,1.0
SLP,146,28,0.08837143700020533,True,False,False,1,0.6824073048137772
IP,161,161,0.013561437000134902,False,False,False,0,0.975
SMB,564,487,0.08750866900027177,False,True,False,1,0.7418280026106095
CSI,298,298,0.027385026999581896,False,False,False,0,1.0
REALWIN,47,19,0.025156704999972135,True,False,False,1,0.5453036097170731
DHCP,1937,1924,2.8638217990001067,False,True,False,1,0.9779962223874337
IKE,104,97,0.044511775000501075,True,False,False,1,0.9597776568587199
S7Comm,228,225,0.6995450099993832,True,False,True,2,0.9784371651850103
ETHERNET,162,161,0.019427793999966525,True,False,False,1,0.8816964285714286
FTP,17,3,0.002870697999242111,False,False,False,0,0.0
SNMP,81,73,2.174944825000239,True,False,False,1,0.8472222222222222
ARP,468,273,0.09535050999966188,False,True,False,1,0.9479739010989011
RTSP,164,161,2.823961882999356,True,False,True,2,0.8198120312590145
PROFINETIO,315,177,2.1904528079994634,True,True,False,2,0.8761164863853448
WINBOX,507,82,0.6652396419995057,True,True,False,2,0.7850477738933825
ICMP,313,149,3.185853988999952,True,True,False,2,0.9064112765282171
SDP,145,85,0.014662003999546869,False,False,False,0,0.4444444444444444
NTLM,115,41,1.0681045609999273,True,True,False,2,0.7867332513165847
MQTT,77,61,0.04285473399977491,True,False,False,1,0.8644900721213943
NSDP,424,180,0.2968883919993459,True,False,True,2,0.9578805886673033
